"match_hometeam_id","match_id","epoch","match_status","match_live","match_hometeam_name","match_awayteam_id","match_awayteam_name","match_hometeam_score","match_awayteam_score","match_hometeam_halftime_score","match_awayteam_halftime_score","match_hometeam_extra_score","match_awayteam_extra_score","match_hometeam_penalty_score","match_awayteam_penalty_score","home_in_list","away_in_list","league_id"
4187,146839,1541269800,"Finished",0,"Juventus",4171,"Cagliari",3,1,2,1,2,1,NA,NA,1,1,262
2646,146824,1541270700,"Finished",0,"Wolves",2628,"Tottenham",2,3,0,2,0,2,NA,NA,1,1,148
7621,148965,1541323800,"Finished",0,"Ankaragucu",7604,"Kayserispor",3,1,2,0,2,0,NA,NA,1,1,511
7096,147997,1541325600,"Finished",0,"Eibar",7108,"Alaves",2,1,0,1,0,1,NA,NA,1,1,468
4183,147987,1541327400,"Finished",0,"Lazio",4178,"Spal",4,1,2,1,2,1,NA,NA,1,1,262
7613,148966,1541332800,"Finished",0,"Alanyaspor",7618,"Yeni Malatyaspor",0,1,NA,NA,NA,NA,NA,NA,1,1,511
4176,147990,1541336400,"Finished",0,"Sampdoria",4170,"Torino",1,4,0,2,0,2,NA,NA,1,1,262
3234,147985,1541338200,"Finished",0,"B. Monchengladbach",3256,"Dusseldorf",3,0,0,0,0,0,NA,NA,1,1,195
2626,147980,1541340000,"Finished",0,"Manchester City",2614,"Southampton",6,1,4,1,4,1,NA,NA,1,1,148
7107,147998,1541340900,"Finished",0,"Villarreal",7097,"Levante",1,1,0,0,0,0,NA,NA,1,1,468
2616,147981,1541343600,"Finished",0,"Chelsea",2619,"Crystal Palace",3,1,1,0,1,0,NA,NA,1,1,148
3025,147983,1541343600,"Finished",0,"St Etienne",3037,"Angers",4,3,2,2,2,2,NA,NA,1,1,176
3237,147986,1541347200,"Finished",0,"Mainz",3223,"Werder Bremen",2,1,1,0,1,0,NA,NA,1,1,195
4185,147991,1541347200,"Finished",0,"Bologna",4181,"Atalanta",1,2,1,0,1,0,NA,NA,1,1,262
7101,148000,1541349000,"Finished",0,"Real Sociedad",7102,"Sevilla",0,0,0,0,0,0,NA,NA,1,1,468
4180,147992,1541356200,"Finished",0,"Udinese",4186,"AC Milan",0,1,0,0,0,0,NA,NA,1,1,262
7091,148001,1541357100,"Finished",0,"Betis",7095,"Celta Vigo",3,3,1,0,1,0,NA,NA,1,1,468
3034,147984,1541358000,"Finished",0,"Montpellier",3023,"Marseille",3,0,0,0,0,0,NA,NA,1,1,176
7610,149170,1541433600,"Finished",0,"Sivasspor",7611,"Konyaspor",0,0,0,0,0,0,NA,NA,1,1,511
